T: 8600
dT: 300
M: 3.0
dM: 0.3
R: 4.2
dR: 0.8
vrot: 6.8
dvrot: 0.4
logmdot: -7.04
dlogmdotMinus: 0.15
dlogmdotPlus: 0.15
Abundance Normalization: Ntot
Element,logX,dlogX
He,-0.9,0.3
C,-3.58,0.12
O,-3.12,0.09
Na,-5.56,0.15
Mg,-4.95,0.15
Al,-5.99,0.2
Si,-5.3,0.19
S,-4.96,0.12
Ca,-6.37,0.2
Sc,-9.33,0.17
Ti,-7.75,0.23
V,-8.1,0.3
Cr,-6.69,0.29
Mn,-6.98,0.09
Fe,-5.08,0.19
Ni,-6.13,0.27
Cu,-8.6,0.3
Y,-10.12,0.25
Zr,-9.8,0.3
Ba,-10.71,0.24

References:

Folsom et al. 2012 unless otherwise specified.
logmdot, dlogmdotMinus, dlogmdotPlus come from Pogodin et al. 2012.
