T: 7600
dT: 300
M: 1.7
dM: 0.1
R: 1.6
dR: 0.4
vrot: 25.6
dvrot: 0.4
logmdot: -7.63
dlogmdotMinus: 0.20
dlogmdotPlus: 0.30
Element,logX,dlogX
C,-3.74967130029,0.22
N,-4.16967130029,0.13
O,-3.32967130029,0.1
Na,-6.13967130029,0.12
Mg,-4.73967130029,0.07
Si,-5.09967130029,0.13
S,-5.17967130029,0.15
K,-7.28967130029,0.25
Ca,-6.17967130029,0.16
Sc,-9.38967130029,0.15
Ti,-7.50967130029,0.14
V,-8.39967130029,0.5
Cr,-6.79967130029,0.11
Mn,-7.42967130029,0.19
Fe,-5.06967130029,0.13
Ni,-6.32967130029,0.14
Cu,-8.59967130029,0.4
Zn,-8.29967130029,0.3
Y,-10.2296713003,0.15
Ba,-10.2896713003,0.21
