T: 7400
dT: 200
M: 1.95
dM: 0.2
R: 2.6
dR: 0.5
vrot: 80.3
dvrot: 1
logmdot: -7.07
dlogmdotMinus: 0
dlogmdotPlus: 0
Abundance Normalization: Ntot
Element,logX,dlogX
C,-3.79,0.18
O,-3.17,0.1
Na,-5.86,0.09
Mg,-4.46,0.04
Si,-4.81,0.24
S,-4.82,0.05
Ca,-5.78,0.15
Sc,-9.09,0.15
Ti,-7.26,0.16
V,-8.3,0.4
Cr,-6.51,0.23
Mn,-6.96,0.15
Fe,-4.7,0.09
Co,-7.1,0.5
Ni,-6.0,0.15
Zn,-7.57,0.2
Sr,-9.4,0.3
Y,-9.8,0.13
Zr,-9.3,0.4
Ba,-9.69,0.16
La,-11.2,0.4

References:

Folsom et al. 2012 unless otherwise specified.
