T: 7500
dT: 200
M: 1.7
dM: 0.2
R: 1.9
dR: 0.7
vrot: 51.6
dvrot: 0.5
logmdot: -8.70
dlogmdotMinus: 0.13
dlogmdotPlus: 0.13
Meu: 10
f30f135: 7.8
df30f135: 0.5
fNIR: 10.5
Abundance Normalization: Ntot
Element,logX,dlogX
C,-3.55,0.12
O,-3.38,0.13
Na,-6.18,0.08
Mg,-4.89,0.06
Si,-5.13,0.1
S,-5.1,0.12
Ca,-6.15,0.12
Sc,-9.58,0.24
Ti,-7.65,0.1
V,-8.49,0.16
Cr,-6.98,0.13
Mn,-7.57,0.2
Fe,-5.13,0.11
Ni,-6.4,0.16
Cu,-8.85,0.28
Zn,-8.71,0.08
Sr,-9.58,0.11
Y,-10.18,0.14
Zr,-9.65,0.13
Ba,-9.96,0.21
Nd,-10.64,0.14
Eu,-12.19,0.1

References:

Folsom et al. 2012 unless otherwise specified.
logmdot comes from Wagner et al. 2014
f30f135, df30f135, Meu come from Maaskant et al. 2014.
fNIR comes from Banzatti et al. 2018.
