T: 12900
dT: 400
M: 4.4
dM: 0.2
R: 4.3
dR: 0.3
vrot: 20.9
dvrot: 1.2
logmdot: -inf
dlogmdotMinus: 0
dlogmdotPlus: 0
Element,logX,dlogX
He,-0.852457128739,0.14
N,-3.97245712874,0.15
O,-3.10245712874,0.13
Ne,-3.70245712874,0.28
Na,-5.24245712874,0.1
Mg,-4.37245712874,0.15
Al,-5.75245712874,0.17
Si,-4.49245712874,0.14
P,-6.37245712874,0.14
S,-4.93245712874,0.08
Ar,-5.54245712874,0.3
Ca,-5.64245712874,0.2
Ti,-7.31245712874,0.15
Cr,-6.51245712874,0.16
Mn,-6.54245712874,0.3
Fe,-4.64245712874,0.08
Ni,-5.79245712874,0.06
