T: 9640
dT: 250
M: 3.1
dM: 0.3
R: 3.7
dR: 0.6
vrot: 70
dvrot: 4
logmdot: -6.72
dlogmdotMinus: 0.24
dlogmdotPlus: 0.15
Abundance Normalization: Ntot
Element,logX,dlogX
He,-1.15,0.15
C,-3.45,0.16
N,-3.5,0.4
O,-3.1,0.13
Na,-5.5,0.3
Mg,-4.73,0.17
Al,-6.0,0.4
Si,-4.82,0.22
S,-4.2,0.4
Ca,-6.25,0.38
Sc,-9.4,0.16
Ti,-7.57,0.12
Cr,-6.97,0.13
Fe,-5.03,0.13
Sr,-10.2,0.2
Y,-10.0,0.4
Ba,-10.4,0.4

References:

Folsom et al. 2012 unless otherwise specified.
logmdot, dlogmdotMinus, dlogmdotPlus come from Donehew and Brittain 2011
