T: 8500
dT: 300
M: 2.45
dM: 0.15
R: 3.1
dR: 0.4
vrot: 163
dvrot: 11
logmdot: -6.58
dlogmdotMinus: 0.40
dlogmdotPlus: 0.40
Abundance Normalization: Ntot
Element,logX,dlogX
He,-1.4,0.5
C,-3.59,0.19
N,-4.2,0.4
O,-3.16,0.12
Na,-6.1,0.3
Mg,-5.05,0.23
Al,-5.2,0.4
Si,-4.89,0.2
S,-4.1,0.3
Ca,-6.0,0.31
Sc,-9.4,0.3
Ti,-7.55,0.17
Cr,-6.82,0.07
Fe,-4.98,0.1
Sr,-9.3,0.2
Ba,-10.3,0.3

References:

Folsom et al. 2012 unless otherwise specified.
logmdot, dlogmdotMinus, dlogmdotPlus are from Mendigutia et al. 2011
