Element,logX/H,dlogX
H,0,0
He,-1.07,0.01
Li,-10.95,0.1
Be,-10.62,0.09
B,-9.3,0.2
C,-3.57,0.05
N,-4.17,0.05
O,-3.31,0.05
F,-7.44,0.3
Ne,-4.07,0.1
Na,-5.76,0.04
Mg,-4.4,0.04
Al,-5.55,0.03
Si,-4.49,0.03
P,-6.59,0.03
S,-4.88,0.03
Cl,-6.5,0.3
Ar,-5.6,0.13
K,-6.97,0.09
Ca,-5.66,0.04
Sc,-8.85,0.04
Ti,-7.05,0.05
V,-8.07,0.08
Cr,-6.36,0.04
Mn,-6.57,0.05
Fe,-4.5,0.04
Co,-7.01,0.07
Ni,-5.78,0.04
Cu,-7.81,0.04
Zn,-7.44,0.05
Ga,-8.96,0.09
Ge,-8.35,0.1
As,nan,nan
Se,nan,nan
Br,nan,nan
Kr,-8.75,0.06
Rb,-9.48,0.1
Sr,-9.13,0.07
Y,-9.79,0.05
Zr,-9.42,0.04
Nb,-10.54,0.04
Mo,-10.12,0.08
Ru,-10.25,0.08
Rh,-11.09,0.1
Pd,-10.43,0.1
Ag,-11.06,0.1
Cd,nan,nan
In,-11.2,0.2
Sn,-9.96,0.1
Sb,nan,nan
Te,nan,nan
I,nan,nan
Xr,-9.76,0.06
Cs,nan,nan
Ba,-9.82,0.09
La,-10.9,0.04
Ce,-10.42,0.04
Pr,-11.28,0.04
Nd,-10.58,0.04
Sm,-11.04,0.04
Eu,-11.48,0.04
Gd,-10.93,0.04
Tb,-11.7,0.1
Dy,-10.9,0.04
Ho,-11.52,0.11
Er,-11.08,0.05
Tm,-11.9,0.04
Yb,-11.16,0.11
Lu,-11.9,0.09
Hf,-11.15,0.04
Ta,nan,nan
W,-11.15,0.12
Re,nan,nan
Os,-10.6,0.08
Ir,-10.62,0.07
Pt,nan,nan
Au,-11.08,0.1
Hg,nan,nan
Tl,-11.1,0.2
Pb,-10.25,0.1
Bi,nan,nan
Th,-11.98,0.1
U,nan,nan
